,step,psnr,message_bits_str_initial,bit_accuracy,p_value,message_bits_str_recovered,detection_successful
0,-1,inf,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,1.0,0.0,['0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100'],True
1,0,34.76470084099112,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,1.0,0.0,['0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100'],True
2,10,32.56700830290601,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.8984375,0.0,['0101010000011001010010110001110101100000001001011110010010010111000101001110010111100010010111100000001011100010010111110101101110001001011110001011000000110101010100101000000011000000001111111111000000001100001001011010110000001000010100111000100111001100'],True
3,20,31.432305102551222,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.6640625,0.0,['1101111010011101110010110001110101101010001011001000010000110011011100110110110011101000010111100000000001001001010111110010000100100100101100011011000000110101010000101000100001011010100110101110011010101101001001011010111000000000010110010000100100001100'],False
4,30,30.93994210588552,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.6328125,0.0,['1101111010011011011010110101110100111011001101000000010000110010011000010011110011101010010111100000000011001110000010110110100101100100010100001111000000110101110001101100100010010011100110100001001110001110001001011010110000001001010111110010000100000100'],False
5,40,30.645269875655586,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.51953125,0.0,['1111101010111010111000100101110101111111000010100010010000110000011010110001010011101000010111100000001001001111000110100110000101100110000101101111000000110101110000101111010110111011000110000111001110000111000001011010111100000001000011100011000000010100'],False
6,50,30.45091373872433,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.44921875,0.0,['1011111010001110111000100001110111010111010111000010010000110100110010110101110101101000011111110000000100001111000100100010000101100110110000001111000001110101110001101101100010111111000110001001001110010111010001011111110100000001010011101111011100010101'],False
7,60,30.30608677140726,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.4375,0.0,['1011101110001010111110100001110111110111010011100010011000010000110110110101110001001001011111110100001100001101000100100110000001100111110001101111000001110100100001110101100010111011000111000010011100000011000011010001100100000001110011001011010000011100'],False
8,70,30.178558404857597,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.37890625,0.0,['1010101110001110111100110011100111011111110111000010001000110000110100110001110000011000011111110000000100011101000000100110000000100110101001101110000010000101100000111111100010111011000110010010011100010111100001010101100100110000100111100011000100011100'],False
9,80,30.106274062829243,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.38671875,0.0,['1100101010011010111110110011101111001111110111001010001000010011110110010101100000011101111011000000000101011101001000101110000001100011101001101111000000000101110001110111000100111111100100010011011110010101010001011111100100110001100110100011010000011100'],False
10,90,30.040622587459055,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.39453125,0.0,['1100001000001010111110110011100111110011110011000010001000010000110100011000000000010100011011100001000101001101001000000110100101100110001101101010000110000101100001011111000110111111100101010001011110010111100111001111110110101011100111101011010000011001'],False
11,100,29.982770533813465,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.34765625,0.0,['1100001011011110111110110011100101010111110011100000011000010100111100011101000000010000010011100101000101001101001000101010000100100110000001101010000111010101110001110111100110111111100111010000111110010111110111101111110111101111110110000011010000011101'],False
12,110,29.94569745505163,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.34765625,0.0,['1100101011011110101110110011101101010011110011001010001000010100110100111101100000011001011111100101000101111101001000000110000100100110001101111010010110010101110001110111100110110111100101011001111010000111110111101110100111100101100111001011010000011101'],False
13,120,29.914751579701285,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.37890625,0.0,['1000101011011110100110100001101001110111111011001010011000010100110110111101000000110000011111100101001100011101000000100110000100100110000101111010010110000110110001110111000110111111100111011001011000000111101011100110110100110101100110000011010000011101'],False
14,130,29.88910146827244,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.328125,0.0,['1010101010011110111110110011101001110111111011001010001100111100110110111100000000111001011111100111000101111101001000100110000100100111100111111110010110000111110011010111100110111111100100011001011000010111011111101111000001100001100110000011011000011101'],False
15,140,29.873638172740115,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.30859375,0.0,['1010101011011010111110111011101101110011111011001000001100010100111110110001000000011000010111100101000100001101000000100110000100100110100001111010010111010110110101010111100110100111100101011001111000000111111111100110000011010101100111000011011000011111'],False
